"id","tweet_id_str","text","created_at","tweet_quoted","user_id_str"
"1","1268204081337810945","Complexity has been connected to the ability to switch between varying modes of behavior as the environment is varied. Choice is of growing interest in #Transhumanism and cyborgnetic #Cybernetic societies. #3767","2020-06-03 15:33:09","","801157284541894656"
"2","1268204143631622147","Also, ICYMI, last week I explored the convergence of capitalism and transhumanism in Masaaki Yuasa's Kaiba. Pretty happy with that one
https://t.co/nDSswL1IgC https://t.co/wUTOtSu5Nk","2020-06-03 15:33:24","","1495880262"
"3","1268204492127965185","A healthy adeptive algorithm or mind processes with flexibility and adaptability the notion of #choice among various possibilities and probability clusters.","2020-06-03 15:34:47","1268204081337810945","801157284541894656"
"4","1268204638341300227","Hopefully the biohacking and grinder community takes advantage of this opportunity.","2020-06-03 15:35:22","1268187220105715712","991845690"
"5","1268207185911218177","@PredatoryDenier COG - Gates' Luciferase: (Implantable Quantum Dot Microneedle Vaccination Delivery System) #060606
https://t.co/4n2vSFe9d7
COG - Draconians: The Reptilians Are Amongst Us 𝐗𝐕𝐈 (Luciferase, COVID, Nanobots, &amp; Transhumanism)
https://t.co/09DQuarKdB","2020-06-03 15:45:29","","574003793"
"6","1268210091230220290","Free Ebook: “Yuval Noah Harari: The Historian Who Wanted to be Philosopher In Place of the Philosophers” (#Transhumanism, #ArtificialIntelligence, #AI, #YuvalNoahHarari, #Dataism, #Meditation, #Yoga): https://t.co/MI4e88Xeqk https://t.co/RDQQC0UKEc","2020-06-03 15:57:02","","3467896701"
"7","1268211194789273600","@Burssty canada is just as bad as the US and i still dont like transhumanism or markets","2020-06-03 16:01:25","","1215687992859398144"
"8","1268212906476199936","Seeking #immortality in this world is foolish. God set our max days alive on this earth to 120. (See Genesis 6:3) #Bible #Christianity #transhumanism #Jesus","2020-06-03 16:08:13","","4243648347"
"9","1268214701646888962","Something interesting from Humanity Plus.","2020-06-03 16:15:21","1268187220105715712","1042405747424808960"
"10","1268215914685624320","#transhumanism","2020-06-03 16:20:11","1262685960040591362","140400444"
"11","1268216500822802433","@AJ_bus @MagnumCaseum I think Final Soluti0n=dep0pulation, (⬇️ 500M)
Transhumanism, totalitarian control of the coming 0neWorldOrder Gov under UNagenda2l, 2O3O.
G@tes Fdn plays a major role in UNagenda SustainableDevelopment. R0ckefeller Fdn L0ckstep
https://t.co/HgSf7uuRjK","2020-06-03 16:22:30","","1091363784126476288"
"12","1268217929247711235","call me crazy but transhumanism has been underway since the invention of tools","2020-06-03 16:28:11","","1058113632230432768"
"13","1268218468865904641","Societal and ethical issues of digitization. Lambèr Royakkers, Jelte Timmer, Linda Kool &amp; Rinie van Est https://t.co/lsHP8MP4ye #tech #technology #transhumanism #ethics #ética #edtech #digitization #emergingtechnologies #digitaltransformation #humanism #humanismo #NBIC","2020-06-03 16:30:19","","3122211"
"14","1268220453287493634","me and ezio talking about cyberpunk’s grasp of capitalism and transhumanism while the third person in our squad actually plays apex legends https://t.co/6zItaI85Dz","2020-06-03 16:38:13","","4625784014"
"15","1268220685236817920","= transhumanism","2020-06-03 16:39:08","1268217116064452608","1264524887533682689"
"16","1268220774696943617","#1yrago Ted Chiang's ""Op Ed From the Future"": socialized transhumanism vs American oligarchy https://t.co/oZSGRzA7aK

#1yrago Report from the Fed reveals that ""economic growth"" is a highly localized phenomena, masking widespread financial desperation https://t.co/4yrwhusNXM

14/ https://t.co/Xh1s2Wpkz8","2020-06-03 16:39:29","","2729061"
"17","1268222626666885120","👇🏼👇🏼","2020-06-03 16:46:51","1268039726348619776","137375075"
"18","1268223947167772673","Join 7 people right now at ""Aaron Benanav on Automation, Technological Unemployment and UBI"" #cheers #technology #tech #transhumanism #singularityweblog #benanav #aaron #automation #technological #unemployment https://t.co/96yCPQK3tO https://t.co/4AdXSA1Wss","2020-06-03 16:52:06","","166340892"
"19","1268225374988546051","The feature documentary IMMORTALITY OR BUST on my #transhumanism work is debuting June 23 on iTunes &amp; Amazon Prime, etc. The director Daniel Sollinger has been putting out some of the raw footage!  https://t.co/rT8AiBojWz &amp; https://t.co/VqFAboDL9t &amp;
https://t.co/74JmQGZrUz https://t.co/EFueFRp5M7","2020-06-03 16:57:46","","1562177648"
"20","1268226255608045571","Filosofia tehnologiei blockchain — Ontologii. Nicolae Sfetcu @nicolae https://t.co/z9bA2se7M4 #blockchain #bitcoin #crypto #filosofía #philosophy #ontología #tech #technology #fintech #industry40 #transhumanism #ontology #robots #cyborgs #P2P #ICT #digitaltransformationFilosofia https://t.co/tRS9msY50L","2020-06-03 17:01:16","","3122211"
"21","1268231310600011777","A transhumanist society where humans do not have to fear the dangers of crime is what we must strive for. 

The Project designed to uncover the truth of the human soul through the brain.

#Science #transhumanism #neuroscience","2020-06-03 17:21:21","","1268229621650202630"
"22","1268232058868031488","Chuck Missler spoke at Calvary South Denver in Littleton Colorado on July 24, 2013 on the subject of Transhumanism.
Chuck Missler -- Transhumanism https://t.co/WDfcTvOCDo via @YouTube","2020-06-03 17:24:20","","33598221"
"23","1268233931649945600","Kapitalizme ‘Büyük Reset’ atmanın zamanı geldi

Dünya Ekonomik Forumu (WEF) Kurucusu ve Başkanı Klaus Schwab

Anlamı: 22 Temmuz 2019 tweette","2020-06-03 17:31:46","1153376976104755202","2787936004"
"24","1268234358223142914","Twit tarihi temmuz 2019 🙄","2020-06-03 17:33:28","1153376976104755202","1174235895156924418"
